Division,District,Upazila,Union,Mouza,Depth,Arsenic
Dhaka,Faridpur,Sadarpur,Dheukhali,Char Khataria,34.0,240.0
Dhaka,Faridpur,Sadarpur,Sadarpur,Satara Rashi,38.0,272.0
Dhaka,Faridpur,Madhukhali,Raipur,Byasdi,168.0,0.4
Dhaka,Faridpur,Madhukhali,Raipur,Brahmankandi,26.0,228.0
Dhaka,Faridpur,Madhukhali,Megchami,Kaliakanda Ujandia,67.0,104.0
Dhaka,Faridpur,Madhukhali,Dumain,Gariadaha,52.0,2.3
Rajshahi,Naogaon,Naogaon Sadar,Tilakpur,Kadoa,38.0,1.2
Rajshahi,Naogaon,Naogaon Sadar,Hashaighari,Bhutgari,34.0,0.9
Dhaka,Kishoreganj,Mithamain,Keorjori,Char Bulai,73.0,0.7
Rajshahi,Naogaon,Atrai,Hatkalu Para,Barda Para,35.0,0.5
Rajshahi,Naogaon,Atrai,Maniari,Naoduli,35.0,3.2
Rajshahi,Naogaon,Atrai,Ahsanganj,Charbari,32.0,1.1
Dhaka,Dhaka,Savar,Pathalia,Dhania,43.0,0.5
Rajshahi,Naogaon,Patnitala,Ghoshnagar,Madhupur,34.0,0.5
Rajshahi,Naogaon,Patnitala,Ghoshnagar,Koch Khirshin,26.0,0.5
Rajshahi,Naogaon,Patnitala,Patnitala,Mamudpur,29.0,0.5
Rajshahi,Rajshahi,Paba,Noahata,Noahata,38.0,0.5
Rajshahi,Rajshahi,Paba,Hujuri Para,Sarishakuri,24.0,73.5
Rangpur,Rangpur,Badarganj,Badarganj,Jamubari,19.0,0.5
Dhaka,Munshiganj,Tongibari,Abdullahpur,Paik Para,47.0,263.0
Rangpur,Dinajpur,Bochaganj,Nafanagar,Ruhigaon,23.0,0.5
